======================== Summary ========================

Excluded 984 buildings from processing (reason: Missing year of construction)


================ Excluded buildings lists ===============

Excluded 984 buildings from processing (reason: Missing year of construction)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3DgvkLCVY4ss;2920,14;130,55;384599,07050;5820918,80200;-
DEBE04YY50000Qxi_01;4969,99;198,08;384688,72350;5820024,25750;-
DEBE3DqODewsfzeG;6987,41;320,03;384162,27300;5820062,49600;-
DEBE04YY50000GJ6_02;948,15;55,24;384444,73100;5820044,90200;-
DEBE3DZSsvZMW3n4;1480,19;62,55;384798,98900;5820503,48750;-
DEBE3Dwf1cbH5BOO;4616,13;224,67;384630,34400;5820881,73750;-
DEBE3DtcvAHneuQH;1277,26;107,72;384981,79500;5820708,34250;-
DEBE3D04YY500009Ah;394,58;66,55;384456,32300;5820026,79100;-
DEBE3Ds1PjN4tHeI;3843,68;199,66;384577,14850;5820898,39200;-
DEBE3D04YY50002bj7;225,45;48,78;384888,41200;5820961,68400;-
DEBE3DWDeGRHl26C;2171,32;96,51;384837,19500;5820705,71000;-
DEBE3DRMM5s73QSy;6284,40;277,87;384159,72050;5820084,84100;-
DEBE3D04YY500001Lj;57,06;30,26;384849,38950;5820160,28750;-
DEBE3DNmi23fN3KR;4592,90;213,78;384752,89150;5820658,03550;-
DEBE3DMOP1cdur73;5465,73;233,85;384768,68950;5820705,22700;-
DEBE3DsrisBUsXEq;381,49;42,32;384579,76650;5820124,09550;-
DEBE3Dm3UINlz8lm;1309,21;55,47;384558,84100;5820795,11250;-
DEBE3DRyLQctJooD;1829,07;81,10;384277,90750;5820130,13450;-
DEBE04YY500003Aj_02;448,75;26,31;384522,41100;5820072,05750;-
DEBE3DOqsQPzbNIE;14257,59;734,62;384127,15550;5820313,74500;-
DEBE3DKa9syI1YYZ;5649,49;269,07;384672,54950;5820357,77850;-
DEBE3D04YY50000G4a;1698,27;129,74;384933,66450;5820098,21750;-
DEBE3DyqwrAu7VtV;5189,57;237,42;384730,36100;5820881,42300;-
DEBE04YY500003Aj_01;628,84;63,44;384491,53350;5820081,05600;-
DEBE3DqpRT9eW952;5257,90;258,03;384716,48150;5820924,72500;-
DEBE3D04YY50002cJf;0,33;4,73;384245,82200;5820238,35300;-
DEBE3DoNvpUCCxHL;2291,74;93,51;384556,69900;5820135,41550;-
UUID_6b49ed59-6063-496e-a297-acf4d4992f75;2203,49;224,21;384435,25100;5820015,87250;-
DEBE3DI3bUGXeqPe;4882,82;213,62;384649,97650;5820610,47850;-
DEBE3DFe7GrYP5aZ;4662,67;211,34;384683,70650;5820645,11200;-
DEBE3Dr7CJdJLb26;5340,93;228,58;384798,37800;5820220,26650;-
DEBE3DsAQQWr3IQC;5156,33;239,05;384656,92700;5820747,55750;-
DEBE3DxmvzZlmfTo;1292,30;53,91;384907,84550;5820939,25350;-
DEBE3D04YY50000419;4785,15;223,73;384736,86900;5820723,68150;-
DEBE3D04YY5000079k;5394,89;252,60;384811,57800;5820968,12350;-
DEBE3DKOiY03Vq12;1153,03;129,05;384619,71100;5820914,61250;-
DEBE3DvJ2eWWDBcg;973,79;51,87;384935,26550;5820072,54900;-
DEBE3DXZvFtbMTnS;4674,70;264,97;384858,10600;5820769,02700;-
DEBE3DOzSZSKp8hE;1902,55;90,49;384636,31800;5820855,10600;-
DEBE3D04YY50000QWP;5171,00;279,77;384518,81100;5820055,85350;-
DEBE3DA4hVwenHQq;4195,45;193,94;384928,18700;5820296,18700;-
DEBE3DKQ9ov1lP65;1472,43;64,43;385018,18600;5820249,70900;-
DEBE3D04YY500005a4;5339,34;236,74;384790,98600;5820565,08750;-
DEBE3DVqLUtIEOt6;2902,93;138,86;384702,22800;5820612,21100;-
DEBE3DjiImmxMD4X;689,57;32,87;384788,42800;5820662,86400;-
DEBE3D04YY50002coK;244,27;44,29;384091,48850;5820311,26650;-
DEBE04YY500005U2_01;1562,55;75,97;384031,92900;5820190,62800;-
UUID_b230a276-6ea1-426f-882c-8353324da621;4433,86;214,89;384881,51700;5820317,21900;-
DEBE3D04YY50000Awx;37,44;78,57;384592,70600;5820718,66750;-
