Index;Consumption [kWh/h]
1509;1463,54
1510;1463,34
1511;1463,15
1512;1463,08
1513;1462,98
1514;1462,84
1515;1461,98
1516;1461,95
1517;1461,91
1518;1461,79
1519;1460,96
1520;1459,57
1521;1459,46
1522;1459,22
1523;1458,59
1524;1458,59
1525;1458,38
1526;1458,27
1527;1458,26
1528;1458,06
1529;1457,93
1530;1457,78
1531;1457,21
1532;1457,16
1533;1456,92
1534;1456,88
1535;1456,51
1536;1456,41
1537;1456,23
1538;1456,17
1539;1455,80
1540;1455,33
1541;1455,05
1542;1454,82
1543;1454,67
1544;1454,46
1545;1454,26
1546;1454,08
1547;1453,67
1548;1453,57
1549;1452,62
1550;1452,50
1551;1452,33
1552;1452,23
1553;1452,08
1554;1451,50
1555;1450,44
1556;1450,14
1557;1449,94
1558;1449,79
1559;1449,38
1560;1448,91
1561;1448,35
1562;1447,98
1563;1447,84
1564;1447,48
1565;1447,42
1566;1447,35
1567;1446,84
1568;1446,77
1569;1446,42
1570;1446,12
1571;1445,91
1572;1445,87
1573;1445,80
1574;1445,73
1575;1445,65
1576;1445,50
1577;1445,34
1578;1445,18
1579;1444,79
1580;1444,66
1581;1444,59
1582;1444,26
1583;1444,07
1584;1443,85
1585;1443,84
1586;1443,66
1587;1443,56
1588;1443,38
1589;1443,05
1590;1443,00
1591;1442,92
1592;1442,91
1593;1442,87
1594;1442,81
1595;1442,61
1596;1442,35
1597;1442,29
1598;1442,21
1599;1441,97
1600;1441,88
1601;1441,45
1602;1441,28
1603;1441,13
1604;1440,88
1605;1440,77
1606;1440,33
1607;1440,30
1608;1440,20
1609;1440,09
1610;1439,74
1611;1439,46
1612;1439,32
1613;1439,27
1614;1439,14
1615;1439,05
1616;1438,71
1617;1438,27
1618;1438,21
1619;1437,94
1620;1437,69
1621;1437,52
1622;1437,38
1623;1436,96
1624;1436,43
1625;1436,39
1626;1436,26
1627;1435,26
1628;1435,10
1629;1435,01
1630;1434,88
1631;1434,87
