Index;Consumption [kWh/h]
1814;7657,38
1815;7657,29
1816;7657,01
1817;7656,94
1818;7656,94
1819;7656,91
1820;7656,88
1821;7656,79
1822;7656,75
1823;7656,60
1824;7656,10
1825;7656,03
1826;7655,97
1827;7655,96
1828;7655,95
1829;7655,78
1830;7655,68
1831;7655,56
1832;7655,50
1833;7654,15
1834;7653,80
1835;7653,73
1836;7653,30
1837;7653,05
1838;7652,72
1839;7652,56
1840;7652,45
1841;7652,23
1842;7652,16
1843;7652,08
1844;7651,67
1845;7651,06
1846;7650,73
1847;7650,73
1848;7649,64
1849;7649,62
1850;7649,46
1851;7649,02
1852;7649,00
1853;7648,96
1854;7648,85
1855;7648,80
1856;7648,28
1857;7647,72
1858;7647,61
1859;7647,42
1860;7647,39
1861;7647,06
1862;7647,02
1863;7647,00
